Indicateur: Clé,Date,Milieu,Sexe,Niveau d''instruction,Régions,population
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Nord Est,432720
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Nord Est,645316
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Nord Est,252751
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Nord Est,395595
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Nord Est,559321
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Nord Est,253721
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Nord Est,131314
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Nord Est,107793
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Nord Est,15926
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Nord Est,100244
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Nord Est,85018
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Nord Est,18519
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Nord Ouest,65054
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Nord Ouest,86987
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Nord Ouest,25728
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Nord Ouest,56887
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Nord Ouest,72519
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Nord Ouest,28716
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Nord Ouest,112682
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Nord Ouest,80479
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Nord Ouest,9946
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Nord Ouest,76592
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Nord Ouest,61623
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Nord Ouest,11888
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Centre Est,261858
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Centre Est,342425
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Centre Est,114432
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Centre Est,239707
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Centre Est,296715
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Centre Est,117801
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Centre Est,123256
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Centre Est,93305
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Centre Est,15347
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Centre Est,99983
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Centre Est,70699
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Centre Est,14433
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Centre Ouest,63487
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Centre Ouest,88204
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Centre Ouest,26269
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Centre Ouest,55614
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Centre Ouest,71944
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Centre Ouest,26088
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Centre Ouest,144808
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Centre Ouest,102341
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Centre Ouest,15186
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Centre Ouest,103573
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Centre Ouest,75651
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Centre Ouest,12826
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Sud Est,108413
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Sud Est,128479
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Sud Est,33400
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Sud Est,103312
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Sud Est,108221
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Sud Est,38369
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Sud Est,42373
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Sud Est,36419
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Sud Est,6584
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Sud Est,39469
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Sud Est,31897
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Sud Est,8207
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Sud Ouest,56232
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Sud Ouest,74055
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Sud Ouest,19685
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Sud Ouest,51385
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Sud Ouest,60712
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Sud Ouest,23971
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Sud Ouest,27627
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Sud Ouest,28743
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Sud Ouest,5625
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Sud Ouest,22583
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Sud Ouest,23005
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Sud Ouest,6707
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Tunis,124426
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Tunis,204666
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Tunis,90215
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Tunis,115423
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Tunis,179032
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Tunis,88335
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de L'Ariana,59248
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de L'Ariana,90250
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de L'Ariana,49681
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de L'Ariana,51965
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de L'Ariana,79524
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de L'Ariana,48078
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de L'Ariana,9493
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de L'Ariana,10709
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de L'Ariana,4122
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de L'Ariana,7836
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de L'Ariana,8771
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de L'Ariana,4412
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Ben Arous,64771
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Ben Arous,115761
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Ben Arous,45872
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Ben Arous,62679
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Ben Arous,100779
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Ben Arous,45953
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Ben Arous,10311
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Ben Arous,9120
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Ben Arous,1076
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Ben Arous,7989
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Ben Arous,7300
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Ben Arous,1370
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Manouba,39437
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Manouba,54873
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Manouba,15423
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Manouba,34260
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Manouba,45194
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Manouba,17031
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Manouba,16001
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Manouba,14919
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Manouba,1835
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Manouba,12267
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Manouba,11349
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Manouba,2358
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Nabeul,82292
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Nabeul,96075
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Nabeul,29365
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Nabeul,73150
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Nabeul,82190
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Nabeul,30690
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Nabeul,46359
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Nabeul,35215
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Nabeul,4647
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Nabeul,36876
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Nabeul,28603
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Nabeul,5505
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Zaghouan,10241
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Zaghouan,13702
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Zaghouan,3867
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Zaghouan,9169
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Zaghouan,11658
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Zaghouan,3962
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Zaghouan,15886
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Zaghouan,12900
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Zaghouan,1715
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Zaghouan,11420
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Zaghouan,9861
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Zaghouan,1796
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Bizerte,52305
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Bizerte,69989
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Bizerte,18328
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Bizerte,48949
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Bizerte,60944
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Bizerte,19672
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Bizerte,33264
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Bizerte,24930
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Bizerte,2531
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Bizerte,23856
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Bizerte,19134
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Bizerte,3078
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Bèja,17316
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Bèja,24991
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Bèja,6777
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Bèja,15194
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Bèja,21165
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Bèja,7680
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Bèja,27794
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Bèja,20580
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Bèja,2449
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Bèja,18827
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Bèja,15724
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Bèja,2978
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Jendouba,15720
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Jendouba,22615
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Jendouba,7125
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Jendouba,14133
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Jendouba,18847
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Jendouba,7966
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Jendouba,43682
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Jendouba,32949
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Jendouba,4365
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Jendouba,30590
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Jendouba,25741
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Jendouba,5235
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat du Kef,19917
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat du Kef,23948
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat du Kef,6902
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat du Kef,16958
